Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774807025,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774807026,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774807027,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774807028,30,,Aggregated,0.000000,0.000000,2400,2400,2600,2600,2600,2600,2600,2600,2600,2600,2600,15,0,2400.0,1734.5945066694792,162.18789998674765,2632.203099958133,39.0
1774807029,30,,Aggregated,0.000000,0.000000,2400,2600,2600,2600,2900,2900,2900,2900,2900,2900,2900,28,0,2400.0,1522.0508642918762,139.06570000108331,2920.3440000419505,39.0
1774807030,30,,Aggregated,3.333333,0.000000,870,2400,2600,2700,3000,3100,3200,3200,3200,3200,3200,46,0,860.0,1503.9915260871487,139.06570000108331,3172.122100018896,39.0
1774807031,30,,Aggregated,5.750000,0.000000,1100,2600,2900,3100,3200,3300,3300,3800,3800,3800,3800,59,0,1100.0,1708.1906033869263,139.06570000108331,3845.933199976571,39.0
1774807032,30,,Aggregated,8.000000,0.000000,1300,2400,2600,2900,3200,3300,4000,4500,4500,4500,4500,87,0,1300.0,1665.2019218362375,139.06570000108331,4481.587900023442,39.0
1774807033,30,,Aggregated,9.666667,0.000000,1300,1700,2400,2600,3100,3300,3800,4000,4500,4500,4500,105,0,1300.0,1593.1943942837063,139.06570000108331,4481.587900023442,39.0
1774807034,30,,Aggregated,10.857143,0.000000,1300,1400,2400,2600,3100,3300,3800,4000,4500,4500,4500,118,0,1300.0,1553.3114813546397,139.06570000108331,4481.587900023442,39.0
1774807035,30,,Aggregated,11.125000,0.000000,1300,1400,1700,2400,3000,3200,3800,4000,4500,4500,4500,147,0,1300.0,1491.0937523794817,139.06570000108331,4481.587900023442,39.0
